EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
46	66166	69193	71793	73439	77664	83305	87095	90451	93194	95894	98502	100903	102906	104868	107100	109859	112773	115373	117416	118982	120142	120838	120871	120124	119128	119435	121420	125151	129346	132528	133822	134099	133963	134736	136676	139908	143189	145062	145914	147008	149591	154269	160979	169409	172222	174969	171315	167158	164359	160731	156560	152036	147651	143743	139066	135626	132109	128302	125841																																																												
47	63136	65851	68877	71474	73124	77341	82968	86752	90104	92844	95543	98155	100560	102568	104547	106788	109561	112466	115063	117148	118736	119822	120553	120614	119953	119267	119954	122121	125793	129402	132282	133513	133782	133648	134424	136365	139595	142873	144747	145603	146700	149282	153954	160655	169070	171882	174629	170989	166846	164058	160442	156285	151774	147402	143505	138841	135411	131905	128107																																																												
48	60384	62813	65528	68549	71144	72796	77005	82615	86391	89737	92476	95178	97790	100197	102222	104209	106463	109228	112128	114761	116866	118379	119494	120248	120385	119999	119685	120528	122648	125789	129121	131940	133161	133433	133305	134085	136026	139253	142529	144404	145264	146363	148945	153611	160300	168701	171513	174259	170633	166505	163729	160126	155982	151486	147128	143243	138593	135173	131678																																																												
49	58179	60046	62476	65185	68201	70794	72449	76645	82238	86005	89346	92088	94785	97398	99818	101849	103850	106097	108857	111789	114436	116470	118008	119144	119963	120343	120309	120141	120946	122585	125474	128748	131553	132775	133052	132930	133715	135657	138881	142153	144029	144893	145996	148577	153236	159914	168299	171109	173854	170244	166132	163368	159779	155650	151170	146826	142954	138319	134911																																																												
50	56144	57820	59690	62115	64820	67830	70421	72077	76261	81834	85593	88932	91665	94362	96983	99407	101450	103445	105689	108477	111419	114003	116057	117613	118808	119846	120546	120648	120450	120820	122233	125070	128329	131130	132354	132638	132524	133313	135256	138477	141745	143622	144490	145597	148176	152828	159493	167861	170670	173414	169820	165726	162974	159400	155288	150824	146495	142638	138018																																																												
51	54317	55766	57446	59314	61736	64436	67440	70026	71683	75854	81408	85162	88486	91216	93919	96542	98973	101009	103002	105272	108068	110953	113552	115619	117226	118620	119956	120793	120867	120266	120429	121799	124624	127876	130673	131901	132191	132086	132878	134822	138039	141304	143182	144055	145164	147742	152387	159038	167387	170195	172938	169361	165285	162547	158989	154893	150447	146135	142292																																																												
52	52446	53919	55374	57053	58921	61339	64033	67029	69610	71268	75425	80962	84698	88013	90748	93451	96077	98500	100534	102551	104830	107571	110467	113074	115185	116967	118653	120107	120917	120618	119831	119960	121324	124143	127389	130184	131415	131713	131616	132413	134358	137571	140832	142711	143587	144701	147277	151913	158549	166879	169685	172427	168868	164811	162088	158547	154469	150041	145747																																																												
53	50575	52026	53504	54960	56638	58505	60918	63605	66592	69166	70826	74971	80477	84201	87517	90250	92955	95573	97991	100047	102074	104302	107052	109953	112598	114862	116930	118717	120143	120606	120136	119323	119452	120817	123632	126873	129665	130900	131204	131116	131918	133864	137072	140328	142208	143089	144206	146781	151408	158028	166337	169141	171881	168342	164305	161598	158074	154015	149606																																																												
54	48617	50128	51583	53059	54515	56193	58059	60465	63142	66119	68686	70349	74471	79951	83670	86981	89716	92413	95025	97461	99528	101508	103748	106504	109435	112212	114758	116899	118660	119769	120076	119582	118776	118911	120279	123090	126325	129114	130353	130665	130586	131394	133339	136542	139794	141675	142561	143681	146253	150871	157475	165761	168563	171301	167782	163766	161075	157570	153531																																																												
55	46577	48143	49655	51108	52583	54039	55715	57576	59972	62639	65604	68165	69822	73927	79388	83097	86405	89132	91822	94451	96894	98917	100911	103158	105941	108984	112034	114638	116752	118223	119188	119471	118984	118190	118336	119705	122512	125742	128527	129770	130090	130020	130833	132779	135977	139224	141105	141995	143119	145689	150296	156882	165145	167944	170680	167182	163189	160515	157030																																																												
56	44885	46080	47645	49153	50602	52075	53529	55200	57054	59439	62094	65045	67597	69256	73348	78783	82485	85779	88500	91205	93839	96238	98272	100274	102547	105423	108735	111822	114399	116249	117589	118530	118818	118343	117564	117719	119092	121894	125118	127899	129145	129474	129414	130233	132178	135371	138611	140493	141388	142516	145083	149679	156246	164482	167279	170013	166537	162568	159912																																																												
57	43593	44364	45560	47118	48621	50066	51534	52983	54647	56493	58865	61507	64447	66992	68658	72732	78142	81827	85109	87842	90551	93139	95544	97586	99611	101964	105095	108430	111488	113827	115558	116877	117819	118115	117655	116892	117058	118434	121231	124448	127224	128475	128812	128763	129587	131532	134718	137953	139835	140735	141866	144431	149014	155560	163769	166563	169294	165842	161898																																																												
58	42995	43040	43816	45009	46558	48055	49494	50955	52398	54055	55890	58249	60885	63812	66355	68024	72082	77456	81124	84411	87146	89809	92402	94810	96874	98973	101570	104705	108011	110853	113082	114791	116109	117057	117364	116920	116173	116350	117729	120520	123729	126501	127755	128101	128063	128893	130838	134017	137245	139127	140032	141167	143729	148299	154823	163001	165792	168519	165093																																																												
59	42737	42395	42455	43232	44420	45961	47449	48882	50335	51771	53418	55244	57599	60223	63142	65678	67353	71385	76724	80390	83673	86365	89029	91624	94050	96182	98515	101104	104212	107319	110056	112262	113969	115289	116245	116564	116136	115407	115595	116977	119763	122963	125729	126988	127343	127316	128152	130097	133268	136488	138370	139280	140420	142977	147533	154032	162179	164965	167689																																																												
60	42760	42079	41760	41830	42609	43792	45323	46802	48227	49672	51101	52739	54567	56911	59528	62433	64965	66637	70645	75960	79616	82852	85544	88209	90817	93301	95666	97969	100536	103463	106473	109184	111384	113092	114416	115379	115710	115298	114589	114788	116173	118952	122143	124903	126166	126531	126516	127359	129302	132465	135676	137558	138474	139617	142170	146711	153184	161296	164078																																																												
61	42458	42040	41388	41087	41171	41949	43128	44648	46119	47535	48972	50395	52037	53859	56196	58801	61693	64212	65884	69877	75159	78763	81990	84681	87353	90009	92715	95037	97321	99728	102566	105549	108249	110444	112154	113483	114453	114797	114404	113713	113925	115313	118085	121266	124019	125286	125661	125659	126507	128450	131604	134805	136687	137608	138755	141304	145827	152272	160347																																																												
62	41748	41684	41291	40666	40386	40482	41263	42435	43945	45407	46817	48247	49675	51312	53131	55456	58049	60919	63424	65106	69076	74282	77870	81084	83777	86484	89347	91998	94302	96446	98778	101590	104558	107249	109441	111152	112485	113463	113820	113445	112776	113000	114391	117155	120324	123070	124341	124727	124738	125593	127534	130677	133869	135749	136677	137828	140371	144876	151291																																																												
63	40465	40928	40885	40517	39919	39661	39770	40552	41719	43219	44672	46076	47508	48933	50567	52378	54691	57262	60111	62611	64295	68201	73364	76929	80135	82853	85746	88562	91191	93363	95438	97749	100547	103501	106183	108370	110082	111420	112406	112776	112421	111774	112011	113405	116159	119317	122054	123329	123726	123750	124612	126551	129683	132864	134743	135676	136831	139368	143853																																																												
64	38369	39611	40084	40059	39717	39147	38910	39033	39816	40978	42467	43910	45316	46742	48164	49791	51593	53887	56437	59271	61758	63409	67281	72396	75943	79159	82052	84891	87682	90184	92290	94347	96649	99434	102374	105046	107228	108941	110283	111277	111661	111327	110702	110953	112349	115094	118238	120966	122244	122653	122692	123560	125496	128617	131785	133662	134602	135761	138291																																																												
65	35782	37491	38724	39205	39199	38882	38341	38125	38262	39045	40200	41677	43120	44518	45939	47354	48973	50761	53034	55569	58380	60824	62471	66307	71375	74921	78303	81127	83939	86607	89042	91130	93179	95472	98243	101168	103828	106005	107718	109065	110067	110465	110153	109552	109818	111216	113949	117078	119795	121078	121498	121552	122428	124361	127468	130622	132497	133443	134606																																																												
66	32925	34878	36564	37787	38275	38288	37996	37485	37291	37441	38224	39372	40845	42277	43668	45081	46490	48096	49870	52128	54641	57404	59829	61471	65272	70308	74016	77292	80087	82790	85394	87806	89884	91926	94209	96965	99874	102521	104691	106404	107754	108765	109178	108888	108313	108594	109994	112714	115827	118533	119818	120251	120321	121204	123133	126225	129364	131237	132188																																																												
67	30028	31995	33915	35575	36784	37280	37313	37046	36567	36396	36560	37341	38491	39951	41374	42757	44164	45563	47156	48921	51160	53628	56364	58768	60410	64191	69360	72931	76169	78865	81508	84086	86482	88551	90585	92857	95596	98485	101119	103282	104993	106347	107366	107794	107529	106980	107276	108678	111385	114479	117172	118461	118906	118993	119883	121808	124883	128005	129874																																																												
68	27250	29076	31003	32883	34515	35710	36213	36266	36028	35582	35433	35612	36404	37547	38996	40408	41784	43180	44570	46158	47911	50110	52554	55262	57649	59304	63230	68217	71742	74881	77522	80137	82693	85073	87131	89156	91416	94136	97006	99623	101777	103487	104845	105871	106315	106075	105554	105866	107269	109960	113034	115712	117005	117464	117567	118464	120384	123441	126544																																																												
69	24636	26291	28075	29956	31796	33396	34576	35086	35159	34950	34537	34413	34617	35412	36550	37986	39388	40754	42140	43527	45105	46831	49008	51427	54109	56491	58311	62076	66984	70409	73486	76095	78686	81221	83584	85630	87646	89892	92591	95438	98037	100182	101889	103250	104284	104745	104529	104038	104367	105771	108444	111496	114158	115453	115926	116047	116951	118865	121901																																																												
70	22369	23690	25303	27041	28875	30671	32238	33400	33916	34009	33829	33450	33362	33586	34384	35514	36937	38325	39680	41060	42439	43995	45707	47861	50256	52919	55432	57141	60844	65624	68978	72012	74593	77158	79670	82014	84048	86052	88283	90959	93782	96362	98495	100199	101562	102603	103080	102892	102430	102775	104179	106834	109862	112507	113804	114290	114430	115341	117248																																																												
71	20448	21445	22732	24300	25990	27776	29526	31059	32203	32724	32836	32684	32349	32290	32533	33331	34453	35859	37231	38577	39945	41305	42847	44542	46671	49047	51806	54207	55896	59493	64168	67468	70461	73013	75551	78037	80360	82380	84371	86585	89237	92033	94591	96712	98411	99775	100824	101317	101156	100726	101088	102491	105125	108127	110752	112051	112551	112709	113627																																																												
72	18805	19539	20512	21763	23285	24927	26662	28366	29863	30987	31513	31644	31529	31231	31199	31459	32255	33365	34750	36107	37438	38785	40130	41655	43332	45439	47900	50543	52903	54534	58048	62631	65878	68828	71349	73856	76315	78615	80619	82595	84790	87415	90181	92716	94822	96515	97880	98935	99446	99312	98914	99294	100696	103307	106280	108883	110183	110697	110875																																																												
73	17284	17897	18616	19562	20776	22251	23843	25526	27183	28643	29747	30276	30433	30348	30087	30081	30356	31147	32243	33608	34946	36251	37581	38911	40417	42079	44258	46607	49197	51486	53082	56525	61014	64206	67109	69596	72071	74500	76774	78760	80720	82894	85488	88223	90731	92821	94507	95872	96933	97460	97356	96991	97388	98787	101373	104315	106894	108194	108722																																																												
74	15824	16370	16971	17673	18591	19766	21192	22732	24362	25969	27390	28472	29010	29188	29133	28908	28928	29216	30002	31083	32425	33734	35021	36332	37645	39137	40864	42935	45235	47748	49984	51556	54926	59318	62450	65304	67753	70193	72588	74834	76801	78741	80892	83454	86154	88634	90705	92382	93745	94812	95355	95280	94950	95364	96760	99318	102226	104779	106078																																																												
75	14419	14905	15439	16026	16709	17599	18734	20108	21594	23168	24722	26102	27166	27706	27905	27881	27691	27736	28037	28818	29882	31193	32479	33746	35037	36340	37880	39523	41547	43775	46222	48411	49960	53254	57541	60610	63410	65820	68221	70580	72795	74739	76659	78784	81310	83972	86420	88471	90137	91498	92568	93128	93083	92788	93220	94611	97138	100009	102533																																																												
76	13122	13503	13977	14498	15071	15733	16592	17684	19005	20433	21948	23448	24788	25827	26371	26589	26594	26439	26508	26823	27597	28637	29920	31182	32427	33704	35039	36514	38120	40075	42239	44625	46766	48291	51503	55680	58680	61423	63789	66149	68469	70650	72569	74465	76562	79049	81668	84082	86110	87763	89120	90193	90769	90755	90496	90945	92330	94824	97654																																																												
77	11926	12217	12591	13052	13558	14112	14751	15577	16624	17889	19257	20709	22155	23450	24462	25007	25243	25274	25154	25247	25574	26332	27352	28604	29839	31065	32361	33648	35087	36633	38526	40632	42954	45044	46541	49668	53727	56654	59335	61654	63967	66244	68388	70280	72149	74214	76658	79232	81608	83609	85248	86599	87674	88266	88283	88060	88527	89903	92361																																																												
78	10804	11035	11322	11685	12131	12619	13154	13768	14557	15555	16759	18063	19455	20841	22089	23071	23614	23866	23922	23837	23953	24282	25028	26025	27245	28454	29688	30937	32190	33574	35069	36906	38952	41208	43242	44710	47744	51678	54527	57141	59409	61672	63902	66005	67865	69706	71735	74132	76657	78990	80962	82584	83926	85002	85608	85657	85473	85956	87322																																																												
79	9686	9931	10160	10440	10791	11218	11686	12197	12783	13533	14479	15618	16861	18186	19511	20707	21658	22197	22461	22544	22492	22619	22958	23689	24660	25847	27059	28239	29452	30656	31992	33443	35223	37204	39389	41363	42798	45734	49536	52302	54844	57055	59265	61443	63501	65327	67134	69124	71471	73940	76227	78166	79768	81100	82175	82795	82876	82730	83229																																																												
80	8577	8839	9078	9302	9572	9908	10315	10759	11245	11800	12507	13398	14479	15656	16913	18173	19316	20231	20762	21041	21148	21114	21261	21605	22320	23266	24444	25597	26738	27901	29063	30355	31761	33480	35393	37501	39413	40811	43643	47306	49981	52447	54597	56748	58871	60880	62667	64437	66384	68674	71085	73320	75223	76801	78120	79192	79825	79937	79830																																																												
81	7501	7762	8014	8245	8461	8721	9041	9426	9846	10305	10829	11493	12336	13355	14464	15651	16842	17927	18802	19327	19614	19726	19721	19882	20229	20927	21869	22982	24092	25182	26299	27421	28669	30025	31679	33520	35548	37391	38750	41472	44987	47567	49950	52035	54122	56184	58139	59883	61613	63513	65742	68088	70267	72129	73681	74984	76049	76694	76837																																																												
82	6465	6724	6972	7212	7434	7644	7892	8196	8560	8956	9389	9881	10510	11299	12253	13292	14405	15522	16545	17380	17891	18166	18293	18310	18483	18831	19530	20421	21485	22539	23581	24654	25734	26934	28237	29823	31586	33528	35299	36614	39220	42580	45058	47352	49367	51385	53381	55277	56974	58659	60506	62669	64944	67063	68879	70400	71684	72741	73395																																																												
83	5508	5736	5979	6213	6441	6654	6856	7094	7381	7724	8097	8503	8968	9555	10289	11175	12142	13176	14216	15177	15965	16440	16714	16850	16887	17068	17437	18097	18947	19952	20952	21947	22974	24009	25157	26403	27916	29598	31450	33143	34411	36894	40091	42461	44661	46600	48544	50469	52301	53946	55580	57371	59462	61661	63713	65479	66965	68226	69272																																																												
84	4640	4839	5051	5277	5498	5713	5915	6108	6334	6605	6925	7274	7655	8086	8629	9306	10123	11014	11967	12930	13822	14548	14998	15266	15409	15462	15671	16025	16657	17455	18403	19351	20298	21276	22262	23356	24542	25978	27574	29331	30943	32160	34515	37542	39799	41899	43756	45621	47470	49233	50822	52402	54130	56143	58261	60241	61952	63399	64633																																																												
85	3884	4043	4226	4421	4631	4835	5036	5226	5408	5619	5871	6168	6492	6842	7239	7737	8356	9102	9915	10789	11671	12487	13157	13580	13838	13985	14072	14279	14626	15220	15972	16864	17759	18655	19580	20516	21552	22676	24032	25539	27198	28726	29888	32110	34962	37102	39097	40869	42650	44418	46107	47635	49156	50818	52749	54779	56682	58334	59737																																																												
86	3217	3360	3505	3672	3850	4041	4229	4413	4588	4757	4952	5183	5455	5750	6070	6431	6884	7444	8119	8857	9649	10449	11192	11805	12198	12444	12612	12711	12920	13252	13811	14517	15353	16194	17036	17908	18791	19767	20826	22100	23516	25074	26514	27619	29706	32380	34398	36285	37968	39660	41343	42956	44419	45877	47467	49311	51250	53072	54659																																																												
87	2634	2761	2890	3020	3170	3330	3502	3671	3837	3996	4149	4325	4535	4782	5048	5337	5663	6071	6575	7180	7844	8555	9275	9946	10503	10866	11115	11288	11398	11603	11921	12446	13106	13883	14668	15456	16272	17100	18015	19007	20198	21521	22977	24327	25372	27322	29815	31709	33485	35075	36676	38271	39802	41196	42588	44103	45856	47700	49435																																																												
88	2123	2238	2350	2464	2580	2712	2854	3005	3155	3302	3443	3580	3739	3928	4149	4388	4647	4939	5302	5751	6289	6881	7515	8158	8759	9262	9605	9853	10027	10141	10342	10645	11136	11748	12466	13194	13927	14686	15458	16311	17235	18341	19570	20923	22182	23164	24976	27289	29056	30719	32213	33721	35224	36670	37993	39314	40751	42409	44153																																																												
89	1678	1780	1880	1978	2077	2178	2293	2416	2548	2677	2806	2929	3052	3195	3363	3559	3772	4002	4261	4582	4978	5453	5975	6535	7105	7642	8099	8427	8664	8832	8949	9145	9433	9888	10452	11112	11782	12458	13161	13876	14665	15520	16542	17676	18926	20093	21011	22684	24816	26456	28005	29401	30812	32221	33580	34828	36075	37431	38992																																																												
90	1306	1386	1473	1558	1642	1727	1813	1912	2017	2129	2240	2350	2460	2569	2696	2844	3017	3204	3406	3633	3915	4262	4677	5133	5624	6126	6605	7025	7327	7547	7709	7830	8019	8289	8707	9223	9825	10438	11058	11703	12360	13086	13872	14809	15849	16995	18070	18923	20458	22411	23924	25356	26653	27966	29279	30548	31718	32889	34161																																																												
91	1000	1060	1127	1200	1272	1342	1414	1487	1570	1658	1754	1847	1942	2038	2135	2245	2375	2525	2687	2863	3061	3305	3605	3964	4358	4786	5229	5657	6032	6305	6509	6665	6786	6966	7218	7599	8067	8611	9167	9731	10318	10918	11580	12297	13150	14097	15141	16123	16910	18308	20085	21470	22785	23982	25195	26410	27589	28678	29771																																																												
92	752	796	847	902	962	1021	1080	1139	1199	1269	1342	1421	1500	1582	1665	1749	1845	1956	2085	2224	2375	2544	2755	3010	3316	3655	4029	4417	4793	5121	5366	5554	5702	5821	5991	6223	6567	6987	7475	7975	8483	9013	9556	10155	10803	11574	12429	13372	14262	14982	16246	17849	19108	20307	21403	22516	23632	24718	25725																																																												
93	552	586	623	664	709	757	805	853	902	951	1008	1067	1133	1200	1269	1340	1411	1493	1587	1696	1814	1942	2085	2263	2479	2737	3031	3353	3687	4009	4296	4514	4686	4825	4939	5096	5307	5615	5988	6422	6867	7320	7795	8281	8818	9399	10089	10854	11698	12499	13151	14284	15718	16852	17937	18933	19945	20962	21954																																																												
94	392	420	449	478	510	546	585	623	661	700	739	785	833	888	944	1002	1061	1121	1189	1268	1358	1456	1563	1683	1831	2011	2231	2480	2753	3035	3310	3558	3750	3905	4033	4140	4285	4474	4746	5074	5455	5847	6248	6668	7100	7575	8092	8703	9381	10129	10842	11429	12435	13706	14719	15691	16587	17499	18419																																																												
95	269	291	314	336	359	384	412	442	471	501	531	562	600	639	683	729	776	825	874	930	995	1069	1149	1238	1336	1458	1608	1792	2000	2226	2462	2695	2907	3075	3212	3328	3427	3557	3724	3962	4248	4578	4920	5270	5637	6016	6434	6887	7423	8018	8674	9303	9824	10708	11824	12719	13582	14381	15196																																																												
96	182	194	212	229	246	263	282	303	326	348	371	394	419	449	480	515	552	590	629	669	714	766	826	890	962	1043	1142	1266	1417	1587	1772	1968	2162	2341	2485	2605	2708	2797	2912	3059	3263	3509	3793	4086	4389	4706	5035	5397	5791	6255	6770	7340	7888	8347	9115	10083	10866	11623	12328																																																												
97	119	128	137	150	163	175	188	202	218	234	251	268	286	305	329	353	381	409	439	470	502	537	578	625	676	734	799	879	979	1100	1237	1388	1548	1708	1856	1977	2080	2170	2249	2350	2476	2650	2858	3098	3347	3604	3875	4157	4467	4804	5201	5643	6131	6603	7001	7661	8492	9168	9825																																																												
98	75	81	87	94	103	113	121	131	141	152	164	176	189	203	217	235	254	275	297	320	343	368	396	428	464	505	551	603	667	744	839	948	1068	1196	1326	1447	1547	1634	1711	1780	1866	1973	2118	2292	2492	2700	2916	3145	3382	3644	3929	4264	4637	5050	5451	5792	6352	7055	7632																																																												
99	46	49	53	58	63	69	76	82	88	95	103	112	120	130	140	151	164	178	194	210	227	246	265	286	311	342	376	410	451	497	556	629	714	808	910	1012	1109	1192	1264	1328	1387	1459	1548	1668	1811	1975	2147	2326	2515	2712	2930	3168	3447	3758	4103	4439	4728	5196	5784																																																												
100+	72	75	79	84	91	99	109	120	132	144	158	172	189	207	227	248	271	298	327	359	395	434	477	523	573	633	704	779	859	944	1040	1156	1295	1464	1660	1884	2129	2388	2646	2898	3141	3374	3610	3861	4149	4481	4865	5295	5767	6278	6829	7427	8076	8800	9606	10503	11466	12446	13579																												